skuid,descr,datedue,dateordered,qtyprinted,qtyordered,priority,notes,imps,printstack
LDP-T,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",50,50,5,,206,25
PAL-RT,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",50,50,7,,169,20
FMF-TB,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",30,30,9,,273,20
AUH-S,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",30,30,11,,348,15
NC-GS-PG,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",30,30,13,,183,32
PAL-WSB,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",30,30,15,,274,20
TEE-S,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",50,50,17,,148,35
"TEE-T ",WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",30,30,19,,103,50
FN1-S,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",30,30,21,,254,22
SIMP-C,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",100,100,23,,105,45
"SRP Tabs",WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",200,200,25,"3/10/17 - Red. Don't print yet.",16,250
SRP-S,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",100,100,27,"3/10/17 - Red status. Don't print yet.",174,30
LDP-SB,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",30,30,29,,176,34
AUH-T,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",72,30,31,,317,18
FN2-T,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",30,30,33,,262,23
CS-A-RC,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",11,10,35,,345,10
CS-P1-RC,WTS,"2017-03-10 00:00:00","2017-03-09 00:00:00",10,10,37,,329,20
SIMP-A,WTS,"2017-03-10 00:00:00","2017-03-10 00:00:00",100,100,24,,113,45
HSE-S-P,WTS,"2017-03-15 00:00:00","2017-03-14 00:00:00",100,100,2,,28,200
SBC-B,"WTS - ASAP","2017-03-15 00:00:00","2017-03-15 00:00:00",30,30,1,,61,50
CS-B-RC,WTS,"2017-03-16 00:00:00","2017-03-15 00:00:00",10,10,1,,338,17
CS-PK-RC,"Low Stock","2017-03-16 00:00:00","2017-03-15 00:00:00",10,10,5,,311,20
SW2-RC,"Low Stock","2017-03-16 00:00:00","2017-03-15 00:00:00",10,10,5,,240,10
FIX-RC,WTS,"2017-03-16 00:00:00","2017-03-15 00:00:00",17,17,6,,283,20
TTC-T,WTS,"2017-03-17 00:00:00","2017-03-16 00:00:00",200,200,6,,123,45
NC-GS-H,WTS,"2017-03-17 00:00:00","2017-03-16 00:00:00",25,25,7,,352,17
"SW2 Tabs","Low Stock","2017-03-22 00:00:00","2017-03-20 00:00:00",2700,2700,49,"2700 matches up to binders on hand. More tabs on order.",12,104
"SIM Tabs",WTS,"2017-03-24 00:00:00","2017-03-20 00:00:00",500,500,48,"This amount matches up to binders on hand.",5,250
LDP-T,WTS,"2017-03-22 00:00:00","2017-03-21 00:00:00",100,100,1,,206,25
TTC-T,WTS,"2017-03-22 00:00:00","2017-03-22 00:00:00",100,100,7,,123,45
CS-P2,WTS,"2017-03-23 00:00:00","2017-03-22 00:00:00",20,20,3,,327,18
CS-P2-RC,WTS,"2017-03-23 00:00:00","2017-03-22 00:00:00",10,10,4,,327,20
CS-P1,WTS,"2017-03-23 00:00:00","2017-03-22 00:00:00",20,20,5,,329,18
CS-PK,WTS,"2017-03-23 00:00:00","2017-03-22 00:00:00",20,20,3,,311,15
PAL-RSB1,WTS,"2017-03-23 00:00:00","2017-03-22 00:00:00",30,30,6,,103,30
PAL-RSB2,WTS,"2017-03-23 00:00:00","2017-03-22 00:00:00",30,30,6,,108,30
"PAL-RS Readers (pack",WTS,"2017-03-23 00:00:00","2017-03-22 00:00:00",31,31,6,,60,100
PZ-ZCO,WTS,"2017-03-24 00:00:00","2017-03-22 00:00:00",40,40,10,"40 sets 9 up yields 360 PZ-ZCO.",96,24
SIMP-A,WTS,"2017-03-24 00:00:00","2017-03-23 00:00:00",200,200,7,,113,45
WTW-S,WTS,"2017-03-24 00:00:00","2017-03-23 00:00:00",50,50,6,,198,30
HSE-S-P,"WTS - ASAP","2017-03-24 00:00:00","2017-03-24 00:00:00",100,100,1,,28,200
HSE-S-P,"Low Stock","2017-03-24 00:00:00","2017-03-24 00:00:00",100,100,2,,28,200
FN1-S,"Low Stock","2017-03-27 00:00:00","2017-03-24 00:00:00",50,50,9,,254,22
FN1-T,"Low Stock","2017-03-27 00:00:00","2017-03-24 00:00:00",30,30,11,,254,20
WRP-S,"Low Stock","2017-03-27 00:00:00","2017-03-24 00:00:00",50,50,13,,242,25
"TEE-T ","Low Stock","2017-03-27 00:00:00","2017-03-24 00:00:00",50,50,15,,103,50
AUH-S,"Low Stock","2017-03-27 00:00:00","2017-03-24 00:00:00",50,50,17,,348,15
TEE-S,"Low Stock","2017-03-27 00:00:00","2017-03-24 00:00:00",50,50,19,,148,35
ACS-B,"Low Stock","2017-03-27 00:00:00","2017-03-24 00:00:00",30,30,21,,164,30
SICC-B-TB,"Low Stock","2017-03-27 00:00:00","2017-03-24 00:00:00",30,30,23,,168,30
DDD-B,"Low Stock","2017-03-27 00:00:00","2017-03-24 00:00:00",30,30,25,,120,50
LDP-SB,"Low Stock","2017-03-28 00:00:00","2017-03-24 00:00:00",30,30,27,,176,34
SBC-B,"Low Stock","2017-03-28 00:00:00","2017-03-24 00:00:00",30,30,29,,61,50
FMF-TB,"Low Stock","2017-03-28 00:00:00","2017-03-24 00:00:00",30,30,31,,273,20
PAL-WSB,"Low Stock","2017-03-28 00:00:00","2017-03-24 00:00:00",30,30,33,,274,20
FN2-S,"Low Stock","2017-03-28 00:00:00","2017-03-24 00:00:00",31,30,35,,262,23
SRP-S,"Low Stock","2017-03-28 00:00:00","2017-03-24 00:00:00",50,50,37,,174,30
BH-TB,"Low Stock","2017-03-28 00:00:00","2017-03-24 00:00:00",50,50,39,,124,50
SRN-B,"Low Stock","2017-03-28 00:00:00","2017-03-24 00:00:00",50,50,41,,126,35
TTC-T,"Low Stock","2017-03-28 00:00:00","2017-03-24 00:00:00",100,100,43,,123,45
SIMP-A,"Low Stock","2017-03-31 00:00:00","2017-03-27 00:00:00",1000,1000,75,,113,45
SWP-P2-BL,WTS,"2017-04-03 00:00:00","2017-03-31 00:00:00",10,10,1,,299,10
SWP-PK-BL,"Low Stock","2017-04-03 00:00:00","2017-03-31 00:00:00",10,10,3,,216,25
CS-A,"Low Stock","2017-04-03 00:00:00","2017-03-31 00:00:00",20,20,5,,345,15
LDP-T,"Low Stock","2017-04-03 00:00:00","2017-03-31 00:00:00",100,100,7,,206,25
"TEE-T ","Low Stock","2017-04-03 00:00:00","2017-03-31 00:00:00",100,100,9,,103,50
TEE-S,"Low Stock","2017-04-03 00:00:00","2017-03-31 00:00:00",210,200,11,,148,35
MHW-T,"Low Stock","2017-04-03 00:00:00","2017-03-31 00:00:00",100,100,13,,285,20
AFF-TB,"Low Stock","2017-04-04 00:00:00","2017-03-31 00:00:00",50,50,15,,82,30
WRP-T,"Low Stock","2017-04-04 00:00:00","2017-03-31 00:00:00",50,50,17,,192,30
WTW-S,"Low Stock","2017-04-04 00:00:00","2017-03-31 00:00:00",100,100,19,,198,30
TTC-T,"Low Stock","2017-04-04 00:00:00","2017-03-31 00:00:00",100,100,21,,123,45
WSP-BL,WTS,"2017-04-03 00:00:00","2017-04-03 00:00:00",30,30,1,,301,20
PAL-RT,WTS,"2017-04-04 00:00:00","2017-04-04 00:00:00",100,100,1,,169,20
USH-T,WTS,"2017-04-10 00:00:00","2017-04-05 00:00:00",200,200,52,,277,20
USH-S,WTS,"2017-04-10 00:00:00","2017-04-05 00:00:00",400,400,54,,304,15
RRW-H_v2,WTS,"2017-04-12 00:00:00","2017-04-07 00:00:00",50,50,5,"Order #438691",3,150
SIMP-C,WTS,"2017-04-07 00:00:00","2017-04-07 00:00:00",200,200,1,,105,45
TEE-S,WTS,"2017-04-10 00:00:00","2017-04-07 00:00:00",100,100,1,,148,35
"TEE-T ",WTS,"2017-04-10 00:00:00","2017-04-07 00:00:00",50,50,2,,103,50
SICC-A-SB,WTS,"2017-04-10 00:00:00","2017-04-07 00:00:00",50,50,1,,162,30
FN1-S,WTS,"2017-04-11 00:00:00","2017-04-10 00:00:00",250,250,2,,254,22
FN1-T,WTS,"2017-04-11 00:00:00","2017-04-10 00:00:00",100,100,2,,254,20
PW-SEP-IL,WTS,"2017-04-10 00:00:00","2017-04-10 00:00:00",500,500,1,,1,500
"PAL-RS Readers (pack",WTS,"2017-04-11 00:00:00","2017-04-10 00:00:00",30,30,7,,60,100
PAL-RSB1,WTS,"2017-04-11 00:00:00","2017-04-10 00:00:00",30,30,7,,103,30
PAL-RSB2,WTS,"2017-04-11 00:00:00","2017-04-10 00:00:00",30,30,7,,108,30
SRN-B,WTS,"2017-04-11 00:00:00","2017-04-10 00:00:00",200,200,9,,126,35
LTL-S,WTS,"2017-04-11 00:00:00","2017-04-10 00:00:00",50,50,11,,87,50
FMF-S,WTS,"2017-04-12 00:00:00","2017-04-10 00:00:00",150,150,13,,280,20
AUH-T,WTS,"2017-04-12 00:00:00","2017-04-10 00:00:00",100,100,15,,317,18
EIL-3,WTS,"2017-04-12 00:00:00","2017-04-10 00:00:00",100,100,17,,168,35
RRR-S,WTS,"2017-04-12 00:00:00","2017-04-10 00:00:00",75,75,19,,192,30
"AHW-T (old)",WTS,"2017-04-12 00:00:00","2017-04-10 00:00:00",50,50,21,,273,20
WRP-S,WTS,"2017-04-12 00:00:00","2017-04-10 00:00:00",50,50,23,,242,25
AUH-S,WTS,"2017-04-12 00:00:00","2017-04-10 00:00:00",150,150,25,,348,15
AFF-TB,WTS,"2017-04-12 00:00:00","2017-04-10 00:00:00",50,50,27,,82,30
MHW-S,WTS,"2017-04-13 00:00:00","2017-04-10 00:00:00",550,550,29,,312,17
MHW-T,WTS,"2017-04-13 00:00:00","2017-04-10 00:00:00",250,250,31,,285,20
FMF-TB,"Low Stock","2017-04-13 00:00:00","2017-04-10 00:00:00",50,50,33,,273,20
WTW-S,"Low Stock","2017-04-13 00:00:00","2017-04-10 00:00:00",100,100,35,,198,30
NC-GS-M,WTS,"2017-04-17 00:00:00","2017-04-10 00:00:00",20,20,37,,440,13
NC-GS-H,"Low Stock","2017-04-13 00:00:00","2017-04-10 00:00:00",15,15,39,,352,17
NC-GS-PG,"Low Stock","2017-04-13 00:00:00","2017-04-10 00:00:00",31,30,41,,183,32
SICC-C-SB,"Low Stock","2017-04-13 00:00:00","2017-04-10 00:00:00",50,50,43,,188,30
LDP-SB,"Low Stock","2017-04-13 00:00:00","2017-04-10 00:00:00",50,50,45,,176,34
FN2-T,"Low Stock","2017-04-13 00:00:00","2017-04-10 00:00:00",50,50,47,,262,23
FN2-S,"Low Stock","2017-04-13 00:00:00","2017-04-10 00:00:00",60,50,49,,262,23
LDP-T,"Low Stock","2017-04-13 00:00:00","2017-04-10 00:00:00",100,100,51,,206,25
RRR-TB,WTS,"2017-04-28 00:00:00","2017-04-10 00:00:00",50,50,50,,196,28
CS-A-RC,WTS,"2017-04-18 00:00:00","2017-04-10 00:00:00",10,10,37,,345,10
CS-B-RC,"Low Stock","2017-04-13 00:00:00","2017-04-10 00:00:00",10,10,57,,338,17
CS-C-RC,WTS,"2017-04-25 00:00:00","2017-04-10 00:00:00",10,10,5,,376,15
BSS,"Low Stock","2017-04-14 00:00:00","2017-04-10 00:00:00",20,20,61,,317,15
SME-L1,WTS,"2017-04-11 00:00:00","2017-04-11 00:00:00",50,50,1,,40,50
SME-L1-CS,WTS,"2017-04-11 00:00:00","2017-04-11 00:00:00",49,49,1,,14,50
"SIM Tabs",WTS,"2017-04-19 00:00:00","2017-04-19 00:00:00",1762,1762,1,,5,250
HSE-S-P,WTS,"2017-04-20 00:00:00","2017-04-19 00:00:00",85,85,1,,28,200
SICC-B-SB,Stock,"2017-04-20 00:00:00","2017-04-20 00:00:00",50,50,5,"Printed level B instead of level C. PB",186,30
LTW-SW1,WTS,"2017-04-21 00:00:00","2017-04-20 00:00:00",270,270,5,,154,35
LTW-TG1,WTS,"2017-04-21 00:00:00","2017-04-20 00:00:00",90,85,5,,362,15
WTW-S,WTS,"2017-04-24 00:00:00","2017-04-20 00:00:00",200,200,19,,198,30
EIS-LCO,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",250,250,7,"250 cut in half = 500 sets",96,20
SIMP-C,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",200,200,9,,105,45
SICC-A-SB,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",100,100,11,,162,30
NC-GS-M,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",25,25,13,,440,13
NC-GS-H,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",25,25,15,,352,17
SRN-B,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",200,200,17,,126,35
PZ-ZCO,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",50,50,21,"50 sets 9 up yields 450 PZ-ZCO",96,24
FN1-S,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",350,350,23,,254,22
FN1-T,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",152,150,25,,254,20
FMF-S,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",150,150,27,,280,20
"TEE-T ",WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",100,100,29,,103,50
TEE-S,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",350,350,31,,148,35
AUH-S,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",100,100,33,,348,15
RRR-S,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",100,100,35,,192,30
WRP-S,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",100,100,37,,242,25
LTL-S,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",50,50,39,,87,50
LTL-T,WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",50,50,41,,97,30
PAL-WSB,WTS,"2017-04-28 00:00:00","2017-04-25 00:00:00",50,50,43,,274,20
FMF-TB,WTS,"2017-04-28 00:00:00","2017-04-25 00:00:00",50,50,45,,273,20
BH-TB,WTS,"2017-04-28 00:00:00","2017-04-25 00:00:00",50,50,47,,124,50
AFF-TB,WTS,"2017-04-28 00:00:00","2017-04-25 00:00:00",50,50,49,,82,30
MHW-T,WTS,"2017-04-28 00:00:00","2017-04-25 00:00:00",250,250,51,,285,20
MHW-S,WTS,"2017-04-28 00:00:00","2017-04-25 00:00:00",450,450,53,,312,17
PAL-RT,WTS,"2017-04-28 00:00:00","2017-04-25 00:00:00",100,100,55,,169,20
ACS-B,WTS,"2017-04-28 00:00:00","2017-04-25 00:00:00",50,50,57,,164,30
PLS-BL,"Low Stock","2017-04-28 00:00:00","2017-04-25 00:00:00",30,30,59,,245,25
EIL-4,"Low Stock","2017-04-28 00:00:00","2017-04-25 00:00:00",50,50,61,,166,35
DDD-B,"Low Stock","2017-04-28 00:00:00","2017-04-25 00:00:00",50,50,63,,120,50
GWN,"Low Stock","2017-04-28 00:00:00","2017-04-25 00:00:00",50,50,65,,149,40
EIL-5,"Low Stock","2017-04-28 00:00:00","2017-04-25 00:00:00",50,50,67,,165,35
WVD-B,"Low Stock","2017-04-28 00:00:00","2017-04-25 00:00:00",100,100,69,,73,80
EIL-3,WTS,"2017-04-28 00:00:00","2017-04-25 00:00:00",50,50,71,,168,35
WRP-T,"Low Stock","2017-04-28 00:00:00","2017-04-25 00:00:00",50,50,73,,192,30
BFG-B,"Low Stock","2017-04-28 00:00:00","2017-04-25 00:00:00",50,50,75,,84,70
"NC-GS-H Tabs",WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",100,100,14,,8,600
"NC-GS-M Tabs",WTS,"2017-04-27 00:00:00","2017-04-25 00:00:00",100,100,1,,10,600
TTC-T,WTS,"2017-04-26 00:00:00","2017-04-26 00:00:00",100,100,1,,123,45
SICC-A-TB,WTS,"2017-05-01 00:00:00","2017-05-01 00:00:00",30,30,9,,156,30
"SIM Tabs",WTS,"2017-05-08 00:00:00","2017-05-01 00:00:00",1848,1848,9,,5,250
"SW2 Tabs","Low Stock","2017-05-09 00:00:00","2017-05-01 00:00:00",1848,1848,57,,12,104
USH-T,WTS,"2017-05-03 00:00:00","2017-05-02 00:00:00",30,30,10,,277,20
SIMP-A,"Low Stock","2017-05-12 00:00:00","2017-05-04 00:00:00",1000,1000,79,,113,45
CS-PK-RC,WTS,"2017-05-09 00:00:00","2017-05-08 00:00:00",10,10,1,,311,20
CS-P1-RC,"Low Stock","2017-05-09 00:00:00","2017-05-08 00:00:00",10,10,2,,329,20
LDP-T,"Low Stock","2017-05-10 00:00:00","2017-05-08 00:00:00",100,100,5,,206,25
SW2-RC,"Low Stock","2017-05-09 00:00:00","2017-05-08 00:00:00",10,10,3,,240,10
HSE-S-P,"Low Stock","2017-05-10 00:00:00","2017-05-09 00:00:00",100,100,6,,28,200
SRN-B,WTS,"2017-05-11 00:00:00","2017-05-10 00:00:00",300,300,7,,126,35
USH-T,WTS,"2017-05-10 00:00:00","2017-05-10 00:00:00",30,30,2,,277,20
SRP-S,WTS,"2017-05-11 00:00:00","2017-05-10 00:00:00",50,50,2,,174,30
SBC-B,WTS,"2017-05-11 00:00:00","2017-05-10 00:00:00",50,50,2,,61,50
BH-S,"Low Stock","2017-05-12 00:00:00","2017-05-10 00:00:00",54,54,60,,224,18
TEE-S,"Low Stock","2017-05-12 00:00:00","2017-05-10 00:00:00",200,200,58,,148,35
"TEE-T ","Low Stock","2017-05-12 00:00:00","2017-05-10 00:00:00",100,100,59,,103,50
WTW-S,"Low Stock","2017-05-12 00:00:00","2017-05-10 00:00:00",200,200,57,,198,30
FN1-S,"Low Stock","2017-05-12 00:00:00","2017-05-10 00:00:00",100,100,59,,254,22
SIMP-C,"Low Stock","2017-05-12 00:00:00","2017-05-10 00:00:00",200,200,60,,105,45
WSP-BL,WTS,"2017-05-12 00:00:00","2017-05-11 00:00:00",50,50,2,,301,20
SICC-C-TB,WTS,"2017-05-15 00:00:00","2017-05-12 00:00:00",30,30,2,,174,30
CS-P2-RC,WTS,"2017-05-15 00:00:00","2017-05-15 00:00:00",10,10,3,,327,20
TTC-T,WTS,"2017-05-16 00:00:00","2017-05-15 00:00:00",200,200,4,,123,45
"SWP-P-B Tabs",WTS,"2017-05-15 00:00:00","2017-05-15 00:00:00",50,50,1,,4,100
FN2-T,WTS,"2017-05-17 00:00:00","2017-05-16 00:00:00",50,50,5,,262,23
MFI-A-TB,WTS,"2017-05-16 00:00:00","2017-05-16 00:00:00",20,20,1,,254,20
HSE-S-P,WTS,"2017-05-17 00:00:00","2017-05-17 00:00:00",100,100,1,,28,200
LDP-SB,WTS,"2017-05-17 00:00:00","2017-05-17 00:00:00",100,100,2,,176,34
NC-GS-M,WTS,"2017-05-17 00:00:00","2017-05-17 00:00:00",35,35,3,,440,13
NC-GS-H,WTS,"2017-05-17 00:00:00","2017-05-17 00:00:00",30,30,4,,352,17
NC-GS-PG,WTS,"2017-05-17 00:00:00","2017-05-17 00:00:00",40,40,5,,183,32
CS-A,WTS,"2017-05-17 00:00:00","2017-05-17 00:00:00",75,75,6,,345,15
CS-B,WTS,"2017-05-17 00:00:00","2017-05-17 00:00:00",20,20,7,,338,10
FN2-S,WTS,"2017-05-17 00:00:00","2017-05-17 00:00:00",50,50,8,,262,23
FN1-T,WTS,"2017-05-17 00:00:00","2017-05-17 00:00:00",103,100,9,,254,20
SQ-B,"Low Stock","2017-05-18 00:00:00","2017-05-17 00:00:00",50,30,10,,98,50
BFG-B,"Low Stock","2017-05-18 00:00:00","2017-05-17 00:00:00",100,100,11,,84,70
BH-TB,"Low Stock","2017-05-18 00:00:00","2017-05-17 00:00:00",50,50,12,,124,50
WRP-S,"Low Stock","2017-05-18 00:00:00","2017-05-17 00:00:00",50,50,13,,242,25
SIMP-C,"Low Stock","2017-05-18 00:00:00","2017-05-17 00:00:00",200,200,14,,105,45
FMF-S,"Low Stock","2017-05-18 00:00:00","2017-05-17 00:00:00",100,100,15,,280,20
LDP-T,"Low Stock","2017-05-18 00:00:00","2017-05-17 00:00:00",100,100,16,,206,25
AUH-T,"Low Stock","2017-05-18 00:00:00","2017-05-17 00:00:00",50,50,17,,317,18
"CS-ABC Tabs",WTS,"2017-05-22 00:00:00","2017-05-17 00:00:00",100,100,9,,5,250
MHW-S,WTS,"2017-05-22 00:00:00","2017-05-18 00:00:00",200,200,9,,312,17
"SIM Tabs",WTS,"2017-07-18 00:00:00","2017-05-19 00:00:00",2772,2772,3,,5,250
BH-S,"Low Stock","2017-05-23 00:00:00","2017-05-22 00:00:00",101,100,5,,224,18
FN1-S,"Stock - Palletize","2017-06-09 00:00:00","2017-05-25 00:00:00",1000,1000,100,,254,22
"SRP Tabs",WTS,"2017-05-31 00:00:00","2017-05-26 00:00:00",600,600,5,,16,250
WTW-S,"Stock - Palletize","2017-06-09 00:00:00","2017-05-26 00:00:00",1000,1000,250,,198,30
MHW-T,WTS,"2017-05-26 00:00:00","2017-05-26 00:00:00",100,100,1,,285,20
PAL-WSB,WTS,"2017-05-30 00:00:00","2017-05-30 00:00:00",50,50,2,,274,20
SW2-RC,WTS,"2017-05-30 00:00:00","2017-05-30 00:00:00",20,10,3,,240,10
SRP-S,WTS,"2017-05-30 00:00:00","2017-05-30 00:00:00",50,50,4,,174,30
NC-GS-H,WTS,"2017-05-30 00:00:00","2017-05-30 00:00:00",20,20,6,,352,17
CS-P2,WTS,"2017-05-30 00:00:00","2017-05-30 00:00:00",36,25,7,,327,18
CS-P1,WTS,"2017-05-30 00:00:00","2017-05-30 00:00:00",25,25,8,,329,18
SWP-P2-BL,WTS,"2017-05-31 00:00:00","2017-05-30 00:00:00",30,30,9,,299,10
SWP-P1-BL,WTS,"2017-05-31 00:00:00","2017-05-30 00:00:00",30,30,11,,222,12
SWP-PK-BL,WTS,"2017-05-31 00:00:00","2017-05-30 00:00:00",25,25,12,,216,25
HSE-S-P,WTS,"2017-05-31 00:00:00","2017-05-30 00:00:00",100,100,14,,28,200
AUH-S,WTS,"2017-05-31 00:00:00","2017-05-30 00:00:00",100,100,16,,348,15
RRR-S,WTS,"2017-05-31 00:00:00","2017-05-30 00:00:00",100,100,18,,192,30
EIL-4,WTS,"2017-05-31 00:00:00","2017-05-30 00:00:00",55,50,20,,166,35
AFF-TB,WTS,"2017-05-31 00:00:00","2017-05-30 00:00:00",50,50,22,,82,30
"PAL-RS Readers (pack",WTS,"2017-05-31 00:00:00","2017-05-30 00:00:00",30,30,1,,60,100
PAL-RSB1,WTS,"2017-05-31 00:00:00","2017-05-30 00:00:00",30,30,24,,103,30
PAL-RSB2,WTS,"2017-05-31 00:00:00","2017-05-30 00:00:00",30,30,24,,108,30
AUH-T,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",30,30,26,,317,18
PLS-BL,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",30,30,28,,245,25
"TEE-T ","Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",100,100,30,,103,50
TEE-S,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",200,200,32,,148,35
FMF-TB,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",50,30,34,,273,20
EIL-3,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",50,50,36,,168,35
LTL-S,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",100,100,38,,87,50
LTL-T,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",75,75,40,,97,30
FN2-T,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",50,50,42,,262,23
FMF-S,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",100,100,44,,280,20
FN2-S,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",100,100,46,,262,23
WRP-T,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",50,50,48,,192,30
CS-B,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",25,25,50,,338,10
CS-PK,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",25,25,52,,311,15
CS-C,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",25,25,54,,376,15
SWP-A-BL,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",50,50,56,,194,30
SRH-BL,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",100,100,58,,63,40
HWS,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",50,50,60,,94,50
HWS,"Low Stock","2017-06-02 00:00:00","2017-05-30 00:00:00",50,50,60,,94,50
TTC-T,WTS,"2017-06-02 00:00:00","2017-06-01 00:00:00",295,250,7,,123,45
WHB-S,WTS,"2017-06-05 00:00:00","2017-06-02 00:00:00",350,350,8,,296,15
WHB-T,WTS,"2017-06-05 00:00:00","2017-06-02 00:00:00",0,0,8,"This printing (P1) was Redlighted - books replaced or destroyed",268,18
WVD-B,"Low Stock","2017-06-06 00:00:00","2017-06-02 00:00:00",100,100,9,,73,80
BH-S,WTS,"2017-06-05 00:00:00","2017-06-05 00:00:00",200,200,2,,224,18
PAL-RT,WTS,"2017-06-05 00:00:00","2017-06-05 00:00:00",100,100,3,,169,20
WHB-S,"Low Stock","2017-06-06 00:00:00","2017-06-05 00:00:00",100,100,8,,296,15
WHB-T,"Low Stock","2017-06-06 00:00:00","2017-06-05 00:00:00",0,0,9,"This printing (P1) was Redlighted - books replaced or destroyed",268,18
NC-GS-M,WTS,"2017-06-06 00:00:00","2017-06-06 00:00:00",35,35,1,,440,13
NC-GS-PG,WTS,"2017-06-06 00:00:00","2017-06-06 00:00:00",30,30,1,,183,32
NC-GS-H,"Low Stock","2017-06-06 00:00:00","2017-06-06 00:00:00",25,25,2,,352,17
SRP-S,WTS,"2017-06-09 00:00:00","2017-06-06 00:00:00",500,500,3,,174,30
LDP-T,"Low Stock","2017-06-07 00:00:00","2017-06-06 00:00:00",100,100,6,,206,25
SICC-B-TB,WTS,"2017-06-07 00:00:00","2017-06-07 00:00:00",50,50,1,,168,30
FIX-RC,WTS,"2017-06-09 00:00:00","2017-06-07 00:00:00",50,50,4,"Paper due to arrive on 6/8/17.",283,20
SICC-A-SB,"Low Stock","2017-06-09 00:00:00","2017-06-07 00:00:00",400,400,7,,162,30
LTW-SW1,WTS,"2017-06-07 00:00:00","2017-06-07 00:00:00",10,10,1,"Sample for Julie.",154,35
SICC-C-SB,"Low Stock","2017-06-09 00:00:00","2017-06-07 00:00:00",200,200,8,,188,30
"SW2 Tabs",WTS,"2017-06-16 00:00:00","2017-06-08 00:00:00",924,924,0,,12,104
LTW-SW1,WTS,"2017-06-09 00:00:00","2017-06-08 00:00:00",300,300,2,,154,35
LTW-TG1,WTS,"2017-06-09 00:00:00","2017-06-08 00:00:00",200,200,2,,362,15
GWN,WTS,"2017-06-09 00:00:00","2017-06-08 00:00:00",100,100,1,,149,40
CS-A-RC,WTS,"2017-06-09 00:00:00","2017-06-09 00:00:00",10,10,4,,345,10
CS-B-RC,WTS,"2017-06-09 00:00:00","2017-06-09 00:00:00",10,10,4,,338,17
SRN-B,WTS,"2017-06-12 00:00:00","2017-06-12 00:00:00",183,183,1,,126,35
FIX-3-SB,WTS,"2017-06-14 00:00:00","2017-06-13 00:00:00",400,400,3,,130,40
RRR-TB,WTS,"2017-06-14 00:00:00","2017-06-14 00:00:00",50,50,3,,196,28
