skuid,descr,datedue,dateordered,qtyprinted,qtyordered,priority,notes,imps,printstack
PAL-RG,NULL,"2015-09-25 00:00:00","2015-09-25 00:00:00",51,50,4,,198,17
FMF-S,NULL,"2015-09-25 00:00:00","2015-09-25 00:00:00",60,50,5,,280,20
HBW-T,NULL,"2015-09-25 00:00:00","2015-09-25 00:00:00",100,100,6,,257,20
SME-L1-CS,WTS,"2015-09-25 00:00:00","2015-09-25 00:00:00",50,50,1,,14,50
RRW-H_v2,"#341319 - Monday EOD","2015-09-25 00:00:00","2015-09-25 00:00:00",100,100,10,,3,150
IIW-H_v3,"#341319 - Monday EOD","2015-09-25 00:00:00","2015-09-25 00:00:00",100,100,10,,2,150
DTE-H,"#341319 - Monday EOD","2015-09-25 00:00:00","2015-09-25 00:00:00",100,100,10,,3,100
"Display Copy Label (","Feel free to print extras","2015-09-25 00:00:00","2015-09-25 00:00:00",5,1,10,,1,10
PW-SEP-IL,"ASAP - Ship Tuesday 9/29","2015-09-28 00:00:00","2015-09-28 00:00:00",500,500,1,,1,500
SW2,NULL,"2015-09-28 00:00:00","2015-09-28 00:00:00",1280,1280,100,,240,25
SRN-B,NULL,"2015-09-28 00:00:00","2015-09-28 00:00:00",100,50,11,,126,35
TEE-S,NULL,"2015-09-28 00:00:00","2015-09-28 00:00:00",100,50,12,,148,35
FIX-2-SB,NULL,"2015-09-28 00:00:00","2015-09-28 00:00:00",106,50,13,,130,35
FIX-1-SB,NULL,"2015-09-28 00:00:00","2015-09-28 00:00:00",100,100,14,,128,40
FIX-1,NULL,"2015-09-28 00:00:00","2015-09-28 00:00:00",312,300,15,,230,25
FIX-2,NULL,"2015-09-28 00:00:00","2015-09-28 00:00:00",160,150,16,,258,22
SW2,Palletize,"2015-10-01 00:00:00","2015-10-01 00:00:00",1360,1360,101,,240,25
SW2,Palletize,"2015-10-01 00:00:00","2015-10-01 00:00:00",1540,1360,102,,240,25
MPR-Stoa,"Out of Stock","2015-10-05 00:00:00","2015-10-02 00:00:00",20,20,5,,117,30
PW-SEP-IL,"Monday - Oct. 5 EOD","2015-10-05 00:00:00","2015-10-02 00:00:00",500,500,5,,1,500
FBS-A-E,"Tuesday - EOD","2015-10-05 00:00:00","2015-10-05 00:00:00",2,2,10,,59,10
MPB-Stoa,WTS,"2015-10-06 00:00:00","2015-10-06 00:00:00",30,30,1,,182,30
CS-B-RC,WTS,"2015-10-07 00:00:00","2015-10-07 00:00:00",10,1,1,,338,17
RRW-H_v2,"Order #343928","2015-10-12 00:00:00","2015-10-07 00:00:00",100,100,5,,3,150
SIMP-C,"Low Stock","2015-10-08 00:00:00","2015-10-08 00:00:00",30,30,5,,105,45
"TWSS-COC Customer #",#317808,"2015-10-09 13:00:00","2015-10-08 00:00:00",5,5,5,Completed,1,1
WTW-S,Stock,"2015-10-08 00:00:00","2015-10-08 00:00:00",352,350,5,,198,30
MPS,"WTS - ASAP","2015-10-09 00:00:00","2015-10-08 00:00:00",30,30,2,,153,30
"AHW-S (old)",Palletize,"2015-10-17 00:00:00","2015-10-10 00:00:00",1920,1920,6,,300,18
MPB-NCFCA,"WTS - ASAP","2015-10-12 00:00:00","2015-10-12 00:00:00",30,30,1,,196,30
SW2,"Adjustment for overprinting","2015-10-13 00:00:00","2015-10-13 00:00:00",250,250,5,,240,25
BFG-B,Stock,"2015-10-13 00:00:00","2015-10-13 00:00:00",450,450,7,,84,70
EIL-3,Stock,"2015-10-13 00:00:00","2015-10-13 00:00:00",525,500,8,,168,35
EIL-4,Stock,"2015-10-13 00:00:00","2015-10-13 00:00:00",210,200,9,,166,35
FMF-S,Stock,"2015-10-13 00:00:00","2015-10-13 00:00:00",150,150,11,,280,20
SICC-A-SB,Stock,"2015-10-13 00:00:00","2015-10-13 00:00:00",735,700,14,,162,30
TCW,Stock,"2015-10-13 00:00:00","2015-10-13 00:00:00",200,200,15,,101,60
FMF-TB,WTS,"2015-10-13 00:00:00","2015-10-13 00:00:00",275,275,12,,273,20
"PZ-B Blue Card",NULL,"2015-10-19 00:00:00","2015-10-19 00:00:00",83,83,1,,1,1
"PZ-C Blue Card",NULL,"2015-10-19 00:00:00","2015-10-19 00:00:00",45,45,1,,1,1
PMB,"Shipping Today","2015-10-20 00:00:00","2015-10-20 00:00:00",50,50,1,,89,50
MPR-NCFCA,"WTS - ASAP","2015-10-20 00:00:00","2015-10-20 00:00:00",50,50,1,,118,50
MPB-NCFCA,"Low Stock","2015-10-20 00:00:00","2015-10-20 00:00:00",60,50,2,,196,30
MPB-Stoa,"Low Stock","2015-10-20 00:00:00","2015-10-20 00:00:00",67,50,3,,182,30
IIW-H_v3,"File pending approval Shipping Today","2015-10-20 00:00:00","2015-10-20 00:00:00",100,100,1,,2,150
RRW-H_v2,"File pending approval Shipping Today","2015-10-20 00:00:00","2015-10-20 00:00:00",100,100,1,,3,150
"TLC (old)","Shipping Today","2015-10-20 00:00:00","2015-10-20 00:00:00",30,30,1,,192,30
SW2-RC,WTS,"2015-10-20 00:00:00","2015-10-20 00:00:00",10,10,4,,240,10
CS-A-RC,WTS,"2015-10-20 00:00:00","2015-10-20 00:00:00",10,10,5,,345,10
CS-PK,"Out of Stock","2015-10-20 00:00:00","2015-10-20 00:00:00",30,30,6,,311,15
SIMP-A,"WTS - ASAP","2015-10-20 00:00:00","2015-10-20 00:00:00",100,100,1,,113,45
PW-SEP-IL,"Take to Mark","2015-10-21 00:00:00","2015-10-21 00:00:00",500,500,5,,1,500
"SW2 Tabs","Low Stock","2015-10-22 00:00:00","2015-10-21 00:00:00",1768,1000,5,,12,104
SRN-B,"WTS - ASAP","2015-10-26 00:00:00","2015-10-23 00:00:00",105,100,1,,126,35
LTW-SW1,WTS,"2015-10-26 00:00:00","2015-10-23 00:00:00",100,100,2,,154,35
IIW-H_v3,WTS,"2015-10-27 00:00:00","2015-10-23 00:00:00",75,75,7,,2,150
RRW-H_v2,WTS,"2015-10-27 00:00:00","2015-10-23 00:00:00",75,75,7,,3,150
TCW,Stock,"2015-11-03 00:00:00","2015-10-28 00:00:00",1050,1000,15,,101,60
FIX-RC,NULL,"2015-10-28 00:00:00","2015-10-28 00:00:00",50,50,13,,283,20
SIMP-A,Palletize,"2015-10-28 00:00:00","2015-10-28 00:00:00",2555,2500,15,,113,45
FIX-3,"Low Stock","2015-10-28 00:00:00","2015-10-28 00:00:00",60,50,1,,262,22
FIX-4,"Low Stock","2015-10-28 00:00:00","2015-10-28 00:00:00",60,50,2,,264,22
EIL-1,WTS,"2015-10-28 00:00:00","2015-10-28 00:00:00",120,100,3,,156,25
MP-TM-FLOWS,"Out of Stock","2015-10-29 00:00:00","2015-10-29 00:00:00",70,70,4,,53,70
SIMP-B,"WTS - ASAP","2015-10-29 00:00:00","2015-10-29 00:00:00",100,100,1,,107,45
CS-A,"Out of Stock","2015-10-29 00:00:00","2015-10-29 00:00:00",20,20,3,,345,15
FIX-1,Stock,"2015-11-10 00:00:00","2015-11-03 00:00:00",1550,1440,16,,230,25
FIX-1-SB,"WTS - ASAP","2015-11-03 00:00:00","2015-11-03 00:00:00",100,100,1,,128,40
SRH-BL,"Low Stock","2015-11-03 00:00:00","2015-11-03 00:00:00",50,50,3,,63,40
SQ-B,"Out of Stock","2015-11-03 00:00:00","2015-11-03 00:00:00",25,25,4,,98,50
MFI-A-TB,"Low Stock","2015-11-03 00:00:00","2015-11-03 00:00:00",20,20,5,,254,20
FBS-A-E,"A,B,&C - WTS","2015-11-03 00:00:00","2015-11-03 00:00:00",5,2,6,,59,10
SIMP-B,Palletize,"2015-11-11 00:00:00","2015-11-04 00:00:00",2500,2500,17,,107,45
MPR-Stoa,NULL,"2015-11-04 00:00:00","2015-11-04 00:00:00",20,20,7,,117,30
MPS,NULL,"2015-11-04 00:00:00","2015-11-04 00:00:00",42,40,8,,153,30
"AHW-S (old)",NULL,"2015-11-04 00:00:00","2015-11-04 00:00:00",258,250,9,,300,18
"HSE-B (old)","Out of Stock","2015-11-06 00:00:00","2015-11-06 00:00:00",20,20,4,,64,20
FIX-2,Palletize,"2015-11-13 00:00:00","2015-11-06 00:00:00",1408,1152,18,,258,22
MFI-C-TB,"Low Stock","2015-11-09 00:00:00","2015-11-06 00:00:00",20,20,5,,406,15
RRW-H_AP_specialvers,"Ship 11/13/15","2015-11-13 00:00:00","2015-11-10 00:00:00",100,100,5,,2,100
SIMP-C,Palletize,"2015-11-17 00:00:00","2015-11-10 00:00:00",2000,2000,19,,105,45
SICC-B-SB,"WTS - Palletize","2015-11-18 00:00:00","2015-11-11 00:00:00",1014,1000,15,,186,30
PAL-WSB,"In Review - WTS","2015-11-12 00:00:00","2015-11-11 00:00:00",30,30,3,,274,20
AFF-TB,"In Review - WTS","2015-11-12 00:00:00","2015-11-11 00:00:00",75,75,4,"This is a sample note. Blah blah blah.  This is a sample note. Blah blah blah.  This is a sample note. Blah blah blah.  This is a sample note. Blah blah blah.  This is a sample note. Blah blah blah.  This is a sample note. Blah blah blah.  This is a sample note. Blah blah blah.  This is a sample note. Blah blah blah.  This is a sample note. Blah blah blah.  This is a sample note. Blah blah blah.  This is a sample note. Blah blah blah.  ",82,30
SICC-A-TB,"In Review - WTS","2015-11-12 00:00:00","2015-11-11 00:00:00",30,30,5,,156,30
SWP-C-P,"Out of Stock","2015-11-13 00:00:00","2015-11-11 00:00:00",20,20,6,,240,20
SWP-A-BL,Stock,"2015-11-13 00:00:00","2015-11-11 00:00:00",75,75,7,,194,30
CS-A,Stock,"2015-11-16 00:00:00","2015-11-11 00:00:00",20,20,8,,345,15
CS-C,Stock,"2015-11-17 00:00:00","2015-11-11 00:00:00",20,20,9,,376,15
MFI-B-TB,"Low Stock","2015-11-17 00:00:00","2015-11-11 00:00:00",20,20,10,,304,20
BH-TB,"In Review - Low Stock","2015-11-17 00:00:00","2015-11-11 00:00:00",50,50,11,,124,50
"SLA-B (old)","In Review - Low Stock","2015-11-17 00:00:00","2015-11-11 00:00:00",40,40,12,,132,40
SICC-B-TB,"In Review - Low Stock","2015-11-18 00:00:00","2015-11-11 00:00:00",30,30,13,,168,30
WSP-BL,Stock,"2015-11-18 00:00:00","2015-11-11 00:00:00",40,40,14,,301,20
